Group,Dana,Mineral,Mineral_Lowercase,Mineral_CJML
Native elements,01.01.15.02,Khatyrkite,khatyrkite,"""khatyrkite"","
Native elements,01.01.16.01,Cohenite,cohenite,"""cohenite"","
Native elements,01.01.16.02,Haxonite,haxonite,"""haxonite"","
Native elements,01.01.16.03,Isovite,isovite,"""isovite"","
Native elements,01.01.17.01,Tongbaite,tongbaite,"""tongbaite"","
Native elements,01.01.17.02,Florenskyite,florenskyite,"""florenskyite"","
Native elements,01.01.17.03,Andreyivanovite,andreyivanovite,"""andreyivanovite"","
Native elements,01.01.18.01,Siderazot,siderazot,"""siderazot"","
Native elements,01.01.18.02,Roaldite,roaldite,"""roaldite"","
Native elements,01.01.19,Osbornite,osbornite,"""osbornite"","
Native elements,01.01.19.01,Osbornite,osbornite,"""osbornite"","
Native elements,01.01.19.02,Khamrabaevite,khamrabaevite,"""khamrabaevite"","
Native elements,01.01.19.03,Niobocarbide,niobocarbide,"""niobocarbide"","
Native elements,01.01.19.04,Tantalcarbide,tantalcarbide,"""tantalcarbide"","
Native elements,01.01.20.01,Carlsbergite,carlsbergite,"""carlsbergite"","
Native elements,01.01.21,Barringerite,barringerite,"""barringerite"","
Native elements,01.01.21.01,Barringerite,barringerite,"""barringerite"","
Native elements,01.01.21.02,Schreibersite,schreibersite,"""schreibersite"","
Native elements,01.01.21.03,Nickelphosphide,nickelphosphide,"""nickelphosphide"","
Native elements,01.01.21.04,Allabogdanite,allabogdanite,"""allabogdanite"","
Native elements,01.01.21.05,Melliniite,melliniite,"""melliniite"","
Native elements,01.01.21.06,Monipite,monipite,"""monipite"","
Native elements,01.01.22.01,Perryite,perryite,"""perryite"","
Native elements,01.01.23,Suessite,suessite,"""suessite"","
Native elements,01.01.23.01,Suessite,suessite,"""suessite"","
Native elements,01.01.23.02,Gupeiite,gupeiite,"""gupeiite"","
Native elements,01.01.23.03,Xifengite,xifengite,"""xifengite"","
Native elements,01.01.23.04,Hapkeite,hapkeite,"""hapkeite"","
Native elements,01.01.23.05,Luobusaite,luobusaite,"""luobusaite"","
Native elements,01.01.23.06,Mavlyanovite,mavlyanovite,"""mavlyanovite"","
Native elements,01.01.23.07,Brownleeite,brownleeite,"""brownleeite"","
Native elements,01.01.24.01,Jedwabite,jedwabite,"""jedwabite"","
Native elements,01.01.25.01,Qusongite,qusongite,"""qusongite"","
Native elements,01.01.26.01,Yarlongite,yarlongite,"""yarlongite"","
Native elements,01.02.01,Platinum,platinum,"""platinum"","
Native elements,01.02.01.01,Platinum,platinum,"""platinum"","
Native elements,01.02.01.02,Iridium,iridium,"""iridium"","
Native elements,01.02.01.03,Rhodium,rhodium,"""rhodium"","
Native elements,01.02.01.04,Palladium,palladium,"""palladium"","
Native elements,01.02.02,Osmium,osmium,"""osmium"","
Native elements,01.02.02.01,Osmium,osmium,"""osmium"","
Native elements,01.02.02.02,Ruthenium,ruthenium,"""ruthenium"","
Native elements,01.02.02.03,Rutheniridosmine,rutheniridosmine,"""rutheniridosmine"","
Native elements,01.02.02.04,Hexaferrum,hexaferrum,"""hexaferrum"","
Native elements,01.02.02.05,Hexamolybdenum,hexamolybdenum,"""hexamolybdenum"","
Native elements,01.02.03.01,Hongshiite,hongshiite,"""hongshiite"","
Native elements,01.02.04,Tetraferroplatinum,tetraferroplatinum,"""tetraferroplatinum"","
Native elements,01.02.04.01,Tetraferroplatinum,tetraferroplatinum,"""tetraferroplatinum"","
Native elements,01.02.04.02,Tulameenite,tulameenite,"""tulameenite"","
Native elements,01.02.04.03,Ferronickelplatinum,ferronickelplatinum,"""ferronickelplatinum"","
Native elements,01.02.04.04,Potarite,potarite,"""potarite"","
Native elements,01.02.05,Isoferroplatinum,isoferroplatinum,"""isoferroplatinum"","
Native elements,01.02.05.01,Isoferroplatinum,isoferroplatinum,"""isoferroplatinum"","
Native elements,01.02.05.02,Rustenburgite,rustenburgite,"""rustenburgite"","
Native elements,01.02.05.03,Atokite,atokite,"""atokite"","
Native elements,01.02.05.04,Zvyagintsevite,zvyagintsevite,"""zvyagintsevite"","
Native elements,01.02.05.05,Chengdeite,chengdeite,"""chengdeite"","
Native elements,01.02.05.06,Yixunite,yixunite,"""yixunite"","
Native elements,01.02.06.01,Paolovite,paolovite,"""paolovite"","
Native elements,01.02.07.01,Taimyrite,taimyrite,"""taimyrite"","
Native elements,01.02.07.02,Tatyanaite,tatyanaite,"""tatyanaite"","
Native elements,01.02.08.01,Cabriite,cabriite,"""cabriite"","
Native elements,01.02.09.01,Stannopalladinite,stannopalladinite,"""stannopalladinite"","
Native elements,01.02.10.01,Niggliite,niggliite,"""niggliite"","
Native elements,01.02.11.01,Plumbopalladinite,plumbopalladinite,"""plumbopalladinite"","
Native elements,01.02.12.01,Damiaoite,damiaoite,"""damiaoite"","
Native elements,01.02.13.01,Skaergaardite,skaergaardite,"""skaergaardite"","
Native elements,01.02.14.01,Nielsenite,nielsenite,"""nielsenite"","
Native elements,01.02.14.02,Bortnikovite,bortnikovite,"""bortnikovite"","
Native elements,01.03.01,Arsenic,arsenic,"""arsenic"","
Native elements,01.03.01.01,Arsenic,arsenic,"""arsenic"","
Native elements,01.03.01.02,Antimony,antimony,"""antimony"","
Native elements,01.03.01.03,Stibarsen,stibarsen,"""stibarsen"","
Native elements,01.03.01.04,Bismuth,bismuth,"""bismuth"","
Native elements,01.03.01.05,Stistaite,stistaite,"""stistaite"","
Native elements,01.03.02.01,Arsenolamprite,arsenolamprite,"""arsenolamprite"","
Native elements,01.03.02.02,Pararsenolamprite,pararsenolamprite,"""pararsenolamprite"","
Native elements,01.03.03.01,Paradocrasite,paradocrasite,"""paradocrasite"","
Native elements,01.03.04.01,Selenium,selenium,"""selenium"","
Native elements,01.03.04.02,Tellurium,tellurium,"""tellurium"","
Native elements,01.03.05,Sulfur,sulfur,"""sulfur"","
Native elements,01.03.05.01,Sulfur,sulfur,"""sulfur"","
Native elements,01.03.05.02,Rosickyite,rosickyite,"""rosickyite"","
Native elements,01.03.06,Carbon,carbon,"""carbon"","
Native elements,01.03.06.01,Diamond,diamond,"""diamond"","
Native elements,01.03.06.02,Graphite,graphite,"""graphite"","
Native elements,01.03.06.03,Lonsdaleite,lonsdaleite,"""lonsdaleite"","
Native elements,01.03.06.04,Chaoite,chaoite,"""chaoite"","
Native elements,01.03.06.05,Fullerite,fullerite,"""fullerite"","
Native elements,01.03.07.01,Silicon,silicon,"""silicon"","
Native elements,01.03.08.01,Moissanite,moissanite,"""moissanite"","
Native elements,01.03.09.01,Sinoite,sinoite,"""sinoite"","
Native elements,01.03.10.01,Nierite,nierite,"""nierite"","
Sulphides,02.00.00,Chalcocite,chalcocite,"""chalcocite"","
Sulphides,02.00.00,Nickeline,nickeline,"""nickeline"","
Sulphides,02.00.00,Pyrite,pyrite,"""pyrite"","
Sulphides,02.00.00,Silicide,silicide,"""silicide"","
Sulphides,02.00.00,Telluride,telluride,"""telluride"","
Sulphides,02.00.00,Telluride,telluride,"""telluride"","
Sulphides,02.00.00.00,Argentite,argentite,"""argentite"","
Sulphides,02.00.00.00,Bayankhanite,bayankhanite,"""bayankhanite"","
Sulphides,02.00.00.00,Bismutoplagionite,bismutoplagionite,"""bismutoplagionite"","
Sulphides,02.00.00.00,Bravoite,bravoite,"""bravoite"","
Sulphides,02.00.00.00,Colimaite,colimaite,"""colimaite"","
Sulphides,02.00.00.00,Dayingite,dayingite,"""dayingite"","
Sulphides,02.00.00.00,Dilithium,dilithium,"""dilithium"","
Sulphides,02.00.00.00,Dzhezkazganite,dzhezkazganite,"""dzhezkazganite"","
Sulphides,02.00.00.00,Ferdisilicite,ferdisilicite,"""ferdisilicite"","
Sulphides,02.00.00.00,Fersilicite,fersilicite,"""fersilicite"","
Sulphides,02.00.00.00,Horobetsuite,horobetsuite,"""horobetsuite"","
Sulphides,02.00.00.00,Horomanite,horomanite,"""horomanite"","
Sulphides,02.00.00.00,Imgreite,imgreite,"""imgreite"","
Sulphides,02.00.00.00,Iridisite,iridisite,"""iridisite"","
Sulphides,02.00.00.00,Isochalcopyrite,isochalcopyrite,"""isochalcopyrite"","
Sulphides,02.00.00.00,Jaipurite,jaipurite,"""jaipurite"","
Sulphides,02.00.00.00,Kitaibelite,kitaibelite,"""kitaibelite"","
Sulphides,02.00.00.00,Kurilite,kurilite,"""kurilite"","
Sulphides,02.00.00.00,Plumosite,plumosite,"""plumosite"","
Sulphides,02.00.00.00,Protojoseite,protojoseite,"""protojoseite"","
Sulphides,02.00.00.00,Samaniite,samaniite,"""samaniite"","
Sulphides,02.00.00.00,Stibioenargite,stibioenargite,"""stibioenargite"","
Sulphides,02.00.00.00,Sztrokayite,sztrokayite,"""sztrokayite"","
Sulphides,02.00.00.00,Volfsonite,volfsonite,"""volfsonite"","
Sulphides,02.01.01.01,Algodonite,algodonite,"""algodonite"","
Sulphides,02.01.02.01,Horsfordite,horsfordite,"""horsfordite"","
Sulphides,02.01.03.01,Telargpalite,telargpalite,"""telargpalite"","
Sulphides,02.01.04.01,Duranusite,duranusite,"""duranusite"","
Sulphides,02.01.05.01,Bezsmertnovite,bezsmertnovite,"""bezsmertnovite"","
Sulphides,02.01.06.01,Bilibinskite,bilibinskite,"""bilibinskite"","
Sulphides,02.02.01,Dyscrasite,dyscrasite,"""dyscrasite"","
Sulphides,02.02.01.01,Dyscrasite,dyscrasite,"""dyscrasite"","
Sulphides,02.02.01.02,Allargentum,allargentum,"""allargentum"","
Sulphides,02.02.02,Domeykite,domeykite,"""domeykite"","
Sulphides,02.02.02.01,Domeykite,domeykite,"""domeykite"","
Sulphides,02.02.02.02,Kutinaite,kutinaite,"""kutinaite"","
Sulphides,02.02.02.03,Dienerite,dienerite,"""dienerite"","
Sulphides,02.02.03.01,Bogdanovite,bogdanovite,"""bogdanovite"","
Sulphides,02.02.04.01,Atheneite,atheneite,"""atheneite"","
Sulphides,02.02.05.01,Vincentite,vincentite,"""vincentite"","
Sulphides,02.02.06.01,Keithconnite,keithconnite,"""keithconnite"","
Sulphides,02.03.01.01,Koutekite,koutekite,"""koutekite"","
Sulphides,02.03.02.01,Orcelite,orcelite,"""orcelite"","
Sulphides,02.03.03.01,Stibiopalladinite,stibiopalladinite,"""stibiopalladinite"","
Sulphides,02.03.03.02,Palarstanide,palarstanide,"""palarstanide"","
Sulphides,02.03.04.01,Parkerite,parkerite,"""parkerite"","
Sulphides,02.03.05,Shandite,shandite,"""shandite"","
Sulphides,02.03.05.01,Shandite,shandite,"""shandite"","
Sulphides,02.03.05.02,Rhodplumsite,rhodplumsite,"""rhodplumsite"","
Sulphides,02.03.05.03,Pasavaite,pasavaite,"""pasavaite"","
Sulphides,02.03.06.01,Vozhminite,vozhminite,"""vozhminite"","
Sulphides,02.03.07.01,Laflammeite,laflammeite,"""laflammeite"","
Sulphides,02.04.01,Acanthite,acanthite,"""acanthite"","
Sulphides,02.04.01.01,Acanthite,acanthite,"""acanthite"","
Sulphides,02.04.01.02,Naumannite,naumannite,"""naumannite"","
Sulphides,02.04.01.03,Aguilarite,aguilarite,"""aguilarite"","
Sulphides,02.04.02.01,Hessite,hessite,"""hessite"","
Sulphides,02.04.02.02,Cervelleite,cervelleite,"""cervelleite"","
Sulphides,02.04.03,Uytenbogaardtite,uytenbogaardtite,"""uytenbogaardtite"","
Sulphides,02.04.03.01,Uytenbogaardtite,uytenbogaardtite,"""uytenbogaardtite"","
Sulphides,02.04.03.02,Fischesserite,fischesserite,"""fischesserite"","
Sulphides,02.04.03.03,Petzite,petzite,"""petzite"","
Sulphides,02.04.04.01,Jalpaite,jalpaite,"""jalpaite"","
Sulphides,02.04.04.02,Selenojalpaite,selenojalpaite,"""selenojalpaite"","
Sulphides,02.04.05.01,Mckinstryite,mckinstryite,"""mckinstryite"","
Sulphides,02.04.06,Stromeyerite,stromeyerite,"""stromeyerite"","
Sulphides,02.04.06.01,Stromeyerite,stromeyerite,"""stromeyerite"","
Sulphides,02.04.06.02,Eucairite,eucairite,"""eucairite"","
Sulphides,02.04.07,Chalcocite,chalcocite,"""chalcocite"","
Sulphides,02.04.07.01,Chalcocite,chalcocite,"""chalcocite"","
Sulphides,02.04.07.02,Djurleite,djurleite,"""djurleite"","
Sulphides,02.04.07.03,Digenite,digenite,"""digenite"","
Sulphides,02.04.07.04,Roxbyite,roxbyite,"""roxbyite"","
Sulphides,02.04.07.05,Anilite,anilite,"""anilite"","
Sulphides,02.04.07.06,Geerite,geerite,"""geerite"","
Sulphides,02.04.07.07,Spionkopite,spionkopite,"""spionkopite"","
Sulphides,02.04.08.01,Weissite,weissite,"""weissite"","
Sulphides,02.04.09.01,Bellidoite,bellidoite,"""bellidoite"","
Sulphides,02.04.10.01,Berzelianite,berzelianite,"""berzelianite"","
Sulphides,02.04.11.01,Cuprostibite,cuprostibite,"""cuprostibite"","
Sulphides,02.04.12.01,Crookesite,crookesite,"""crookesite"","
Sulphides,02.04.12.02,Sabatierite,sabatierite,"""sabatierite"","
Sulphides,02.04.13.01,Carlinite,carlinite,"""carlinite"","
Sulphides,02.04.14.01,Palladoarsenide,palladoarsenide,"""palladoarsenide"","
Sulphides,02.04.15.01,Palladobismutharsenide,palladobismutharsenide,"""palladobismutharsenide"","
Sulphides,02.04.16.01,Majakite,majakite,"""majakite"","
Sulphides,02.04.16.02,Menshikovite,menshikovite,"""menshikovite"","
Sulphides,02.04.17.01,Petrovskaite,petrovskaite,"""petrovskaite"","
Sulphides,02.04.18.01,Novakite,novakite,"""novakite"","
Sulphides,02.04.19.01,Rhodarsenide,rhodarsenide,"""rhodarsenide"","
Sulphides,02.04.19.02,Palladodymite,palladodymite,"""palladodymite"","
Sulphides,02.04.20.01,Polkanovite,polkanovite,"""polkanovite"","
Sulphides,02.04.21.01,Suredaite,suredaite,"""suredaite"","
Sulphides,02.04.22.01,Naldretteite,naldretteite,"""naldretteite"","
Sulphides,02.05.01.01,Umangite,umangite,"""umangite"","
Sulphides,02.05.02.01,Bornite,bornite,"""bornite"","
Sulphides,02.05.03.01,Heazlewoodite,heazlewoodite,"""heazlewoodite"","
Sulphides,02.05.04.01,Oregonite,oregonite,"""oregonite"","
Sulphides,02.05.05,Thalcusite,thalcusite,"""thalcusite"","
Sulphides,02.05.05.01,Thalcusite,thalcusite,"""thalcusite"","
Sulphides,02.05.05.02,Bukovite,bukovite,"""bukovite"","
Sulphides,02.05.05.03,Murunskite,murunskite,"""murunskite"","
Sulphides,02.05.06,Argyrodite,argyrodite,"""argyrodite"","
Sulphides,02.05.06.01,Argyrodite,argyrodite,"""argyrodite"","
Sulphides,02.05.06.02,Canfieldite,canfieldite,"""canfieldite"","
Sulphides,02.05.07.01,Daomanite,daomanite,"""daomanite"","
Sulphides,02.05.08.01,Imiterite,imiterite,"""imiterite"","
Sulphides,02.05.08.02,Brodtkorbite,brodtkorbite,"""brodtkorbite"","
Sulphides,02.05.09.01,Chvilevaite,chvilevaite,"""chvilevaite"","
Sulphides,02.05.10.01,Putzite,putzite,"""putzite"","
Sulphides,02.05.10.02,Calvertite,calvertite,"""calvertite"","
Sulphides,02.05.11.01,Jonassonite,jonassonite,"""jonassonite"","
Sulphides,02.06.01.01,Dimorphite,dimorphite,"""dimorphite"","
Sulphides,02.06.02,Joseite,joseite,"""joseite"","
Sulphides,02.06.02.01,Joseite,joseite,"""joseite"","
Sulphides,02.06.02.02,Joseite,joseite,"""joseite"","
Sulphides,02.06.02.03,Ikunolite,ikunolite,"""ikunolite"","
Sulphides,02.06.02.04,Laitakarite,laitakarite,"""laitakarite"","
Sulphides,02.06.02.05,Pilsenite,pilsenite,"""pilsenite"","
Sulphides,02.06.02.06,Poubaite,poubaite,"""poubaite"","
Sulphides,02.06.02.07,Rucklidgeite,rucklidgeite,"""rucklidgeite"","
Sulphides,02.06.02.08,Babkinite,babkinite,"""babkinite"","
Sulphides,02.06.03,Kochkarite,kochkarite,"""kochkarite"","
Sulphides,02.06.03.01,Kochkarite,kochkarite,"""kochkarite"","
Sulphides,02.06.03.02,Aleksite,aleksite,"""aleksite"","
Sulphides,02.06.03.03,Hedleyite,hedleyite,"""hedleyite"","
Sulphides,02.06.04,Genkinite,genkinite,"""genkinite"","
Sulphides,02.06.04.01,Genkinite,genkinite,"""genkinite"","
Sulphides,02.06.04.02,Oulankaite,oulankaite,"""oulankaite"","
Sulphides,02.06.04.03,Ungavaite,ungavaite,"""ungavaite"","
Sulphides,02.06.05.01,Temagamite,temagamite,"""temagamite"","
Sulphides,02.06.06.01,Donharrisite,donharrisite,"""donharrisite"","
Sulphides,02.06.07.01,Saddlebackite,saddlebackite,"""saddlebackite"","
Sulphides,02.07.01,Pentalndite,pentalndite,"""pentalndite"","
Sulphides,02.07.01.01,Pentlandite,pentlandite,"""pentlandite"","
Sulphides,02.07.01.02,Argentopentlandite,argentopentlandite,"""argentopentlandite"","
Sulphides,02.07.01.03,Cobaltpentlandite,cobaltpentlandite,"""cobaltpentlandite"","
Sulphides,02.07.01.04,Shadlunite,shadlunite,"""shadlunite"","
Sulphides,02.07.01.05,Manganoshadlunite,manganoshadlunite,"""manganoshadlunite"","
Sulphides,02.07.01.06,Geffroyite,geffroyite,"""geffroyite"","
Sulphides,02.07.02.01,Mackinawite,mackinawite,"""mackinawite"","
Sulphides,02.07.02.02,Sugakiite,sugakiite,"""sugakiite"","
Sulphides,02.07.03.01,Yarrowite,yarrowite,"""yarrowite"","
Sulphides,02.07.04.01,Godlevskite,godlevskite,"""godlevskite"","
Sulphides,02.07.05.01,Kharaelakhite,kharaelakhite,"""kharaelakhite"","
Sulphides,02.07.06.01,Tischendorfite,tischendorfite,"""tischendorfite"","
Sulphides,02.08.01,Galena,galena,"""galena"","
Sulphides,02.08.01.01,Galena,galena,"""galena"","
Sulphides,02.08.01.02,Clausthalite,clausthalite,"""clausthalite"","
Sulphides,02.08.01.03,Altaite,altaite,"""altaite"","
Sulphides,02.08.01.04,Alabandite,alabandite,"""alabandite"","
Sulphides,02.08.01.05,Oldhamite,oldhamite,"""oldhamite"","
Sulphides,02.08.01.06,Niningerite,niningerite,"""niningerite"","
Sulphides,02.08.01.07,Borovskite,borovskite,"""borovskite"","
Sulphides,02.08.01.08,Crerarite,crerarite,"""crerarite"","
Sulphides,02.08.01.09,Keilite,keilite,"""keilite"","
Sulphides,02.08.02,Sphalerite,sphalerite,"""sphalerite"","
Sulphides,02.08.02.01,Sphalerite,sphalerite,"""sphalerite"","
Sulphides,02.08.02.02,Stilleite,stilleite,"""stilleite"","
Sulphides,02.08.02.03,Metacinnabar,metacinnabar,"""metacinnabar"","
Sulphides,02.08.02.04,Tiemannite,tiemannite,"""tiemannite"","
Sulphides,02.08.02.05,Coloradoite,coloradoite,"""coloradoite"","
Sulphides,02.08.02.06,Hawleyite,hawleyite,"""hawleyite"","
Sulphides,02.08.02.07,Rudashevskyite,rudashevskyite,"""rudashevskyite"","
Sulphides,02.08.03.01,Polhemusite,polhemusite,"""polhemusite"","
Sulphides,02.08.04.01,Xingzhongite,xingzhongite,"""xingzhongite"","
Sulphides,02.08.05,Cooperite,cooperite,"""cooperite"","
Sulphides,02.08.05.01,Cooperite,cooperite,"""cooperite"","
Sulphides,02.08.05.02,Vysotskite,vysotskite,"""vysotskite"","
Sulphides,02.08.05.03,Braggite,braggite,"""braggite"","
Sulphides,02.08.06.01,Polarite,polarite,"""polarite"","
Sulphides,02.08.07,Wurtzite,wurtzite,"""wurtzite"","
Sulphides,02.08.07.01,Wurtzite,wurtzite,"""wurtzite"","
Sulphides,02.08.07.02,Greenockite,greenockite,"""greenockite"","
Sulphides,02.08.07.03,Cadmoselite,cadmoselite,"""cadmoselite"","
Sulphides,02.08.07.04,Rambergite,rambergite,"""rambergite"","
Sulphides,02.08.08.01,Hypercinnabar,hypercinnabar,"""hypercinnabar"","
Sulphides,02.08.09.01,Troilite,troilite,"""troilite"","
Sulphides,02.08.10.01,Pyrrhotite,pyrrhotite,"""pyrrhotite"","
Sulphides,02.08.10.02,Smythite,smythite,"""smythite"","
Sulphides,02.08.11,Nickeline,nickeline,"""nickeline"","
Sulphides,02.08.11.01,Nickeline,nickeline,"""nickeline"","
Sulphides,02.08.11.02,Breithauptite,breithauptite,"""breithauptite"","
Sulphides,02.08.11.03,Sederholmite,sederholmite,"""sederholmite"","
Sulphides,02.08.11.04,Hexatestibiopanickelite,hexatestibiopanickelite,"""hexatestibiopanickelite"","
Sulphides,02.08.11.05,Sudburyite,sudburyite,"""sudburyite"","
Sulphides,02.08.11.06,Kotulskite,kotulskite,"""kotulskite"","
Sulphides,02.08.11.07,Sobolevskite,sobolevskite,"""sobolevskite"","
Sulphides,02.08.11.08,Stumpflite,stumpflite,"""stumpflite"","
Sulphides,02.08.11.09,Langisite,langisite,"""langisite"","
Sulphides,02.08.11.10,Freboldite,freboldite,"""freboldite"","
Sulphides,02.08.11.11,Achavalite,achavalite,"""achavalite"","
Sulphides,02.08.11.12,Sorosite,sorosite,"""sorosite"","
Sulphides,02.08.11.13,Vavrinite,vavrinite,"""vavrinite"","
Sulphides,02.08.12,Covellite,covellite,"""covellite"","
Sulphides,02.08.12.01,Covellite,covellite,"""covellite"","
Sulphides,02.08.12.02,Klockmannite,klockmannite,"""klockmannite"","
Sulphides,02.08.13.01,Vulcanite,vulcanite,"""vulcanite"","
Sulphides,02.08.14.01,Cinnabar,cinnabar,"""cinnabar"","
Sulphides,02.08.15.01,Matraite,matraite,"""matraite"","
Sulphides,02.08.16.01,Millerite,millerite,"""millerite"","
Sulphides,02.08.16.02,Makinenite,makinenite,"""makinenite"","
Sulphides,02.08.17.01,Ruthenarsenite,ruthenarsenite,"""ruthenarsenite"","
Sulphides,02.08.17.02,Cherepanovite,cherepanovite,"""cherepanovite"","
Sulphides,02.08.18.01,Modderite,modderite,"""modderite"","
Sulphides,02.08.19.01,Westerveldite,westerveldite,"""westerveldite"","
Sulphides,02.08.20,Tsumoite,tsumoite,"""tsumoite"","
Sulphides,02.08.20.01,Tsumoite,tsumoite,"""tsumoite"","
Sulphides,02.08.20.02,Sulphotsumoite,sulphotsumoite,"""sulphotsumoite"","
Sulphides,02.08.20.03,Nevskite,nevskite,"""nevskite"","
Sulphides,02.08.20.04,Ingodite,ingodite,"""ingodite"","
Sulphides,02.08.20.05,Telluronevskite,telluronevskite,"""telluronevskite"","
Sulphides,02.08.21.01,Platynite,platynite,"""platynite"","
Sulphides,02.08.22,Realgar,realgar,"""realgar"","
Sulphides,02.08.22.01,Realgar,realgar,"""realgar"","
Sulphides,02.08.22.02,Pararealgar,pararealgar,"""pararealgar"","
Sulphides,02.08.22.03,Uzonite,uzonite,"""uzonite"","
Sulphides,02.08.22.04,Alacranite,alacranite,"""alacranite"","
Sulphides,02.08.23.01,Herzenbergite,herzenbergite,"""herzenbergite"","
Sulphides,02.08.24.01,Empressite,empressite,"""empressite"","
Sulphides,02.08.25.01,Muthmannite,muthmannite,"""muthmannite"","
Sulphides,02.09.01,Chalcopyrite,chalcopyrite,"""chalcopyrite"","
Sulphides,02.09.01.01,Chalcopyrite,chalcopyrite,"""chalcopyrite"","
Sulphides,02.09.01.02,Eskebornite,eskebornite,"""eskebornite"","
Sulphides,02.09.01.03,Gallite,gallite,"""gallite"","
Sulphides,02.09.01.04,Roquesite,roquesite,"""roquesite"","
Sulphides,02.09.01.05,Lenaite,lenaite,"""lenaite"","
Sulphides,02.09.01.06,Laforetite,laforetite,"""laforetite"","
Sulphides,02.09.02,Stannite,stannite,"""stannite"","
Sulphides,02.09.02.01,Stannite,stannite,"""stannite"","
Sulphides,02.09.02.02,Cernyite,cernyite,"""cernyite"","
Sulphides,02.09.02.03,Briartite,briartite,"""briartite"","
Sulphides,02.09.02.04,Kuramite,kuramite,"""kuramite"","
Sulphides,02.09.02.05,Sakuraiite,sakuraiite,"""sakuraiite"","
Sulphides,02.09.02.06,Hocartite,hocartite,"""hocartite"","
Sulphides,02.09.02.07,Pirquitasite,pirquitasite,"""pirquitasite"","
Sulphides,02.09.02.08,Velikite,velikite,"""velikite"","
Sulphides,02.09.02.09,Kesterite,kesterite,"""kesterite"","
Sulphides,02.09.02.10,Ferrokesterite,ferrokesterite,"""ferrokesterite"","
Sulphides,02.09.02.11,Barquillite,barquillite,"""barquillite"","
Sulphides,02.09.03,Mawsonite,mawsonite,"""mawsonite"","
